# LAMMPS data file written by OVITO Basic 3.8.4

5888 atoms 
1000 bonds
4 atom types 
1 bond types

0.0 39.0999984741 xlo xhi
0.0 39.0999984741 ylo yhi
0.0 39.0999984741 zlo zhi

Masses

1 6.941  # Li
2 15.7994 # O, core  of type 2 
3 35.453  # Cl
4  0.2000 # O, shell of type 2 
 
Atoms  # full

1453 1 1  0.0 31.279999 13.684999 0.000000       
1454 1 1  0.0 31.279999 13.684999 19.549999       
1455 1 1  0.0 31.279999 33.235000 0.000000       
1456 1 1  0.0 31.279999 33.235000 19.549999       
1457 1 1  0.0 7.820000 13.684999 0.000000       
1458 1 1  0.0 7.820000 13.684999 19.549999       
1459 1 1  0.0 7.820000 33.235000 0.000000       
1460 1 1  0.0 7.820000 33.235000 19.549999       
1461 1 1  0.0 27.369998 13.684999 0.000000       
1462 1 1  0.0 27.369998 13.684999 19.549999       
1463 1 1  0.0 27.369998 33.235000 0.000000       
1464 1 1  0.0 27.369998 33.235000 19.549999       
1465 1 1  0.0 11.730000 5.865000 0.000000       
1466 1 1  0.0 11.730000 5.865000 19.549999       
1467 1 1  0.0 11.730000 25.414998 0.000000       
1468 1 1  0.0 11.730000 25.414998 19.549999       
1469 1 1  0.0 31.279999 5.865000 0.000000       
1470 1 1  0.0 31.279999 5.865000 19.549999       
1471 1 1  0.0 31.279999 25.414998 0.000000       
1472 1 1  0.0 31.279999 25.414998 19.549999       
1473 1 1  0.0 0.000000 7.820000 5.865000       
1474 1 1  0.0 0.000000 7.820000 25.414998       
1475 1 1  0.0 0.000000 27.369998 5.865000       
1476 1 1  0.0 0.000000 27.369998 25.414998       
1477 1 1  0.0 19.549999 7.820000 5.865000       
1478 1 1  0.0 19.549999 7.820000 25.414998       
1479 1 1  0.0 19.549999 27.369998 5.865000       
1480 1 1  0.0 19.549999 27.369998 25.414998       
1481 1 1  0.0 0.000000 11.730000 13.684999       
1482 1 1  0.0 0.000000 11.730000 33.235000       
1483 1 1  0.0 0.000000 31.279999 13.684999       
1484 1 1  0.0 0.000000 31.279999 33.235000       
1485 1 1  0.0 19.549999 11.730000 13.684999       
1486 1 1  0.0 19.549999 11.730000 33.235000       
1487 1 1  0.0 19.549999 31.279999 13.684999       
1488 1 1  0.0 19.549999 31.279999 33.235000       
1489 1 1  0.0 0.000000 7.820000 13.684999       
1490 1 1  0.0 0.000000 7.820000 33.235000       
1491 1 1  0.0 0.000000 27.369998 13.684999       
1492 1 1  0.0 0.000000 27.369998 33.235000       
1493 1 1  0.0 19.549999 7.820000 13.684999       
1494 1 1  0.0 19.549999 7.820000 33.235000       
1495 1 1  0.0 19.549999 27.369998 13.684999       
1496 1 1  0.0 19.549999 27.369998 33.235000       
1497 1 1  0.0 0.000000 11.730000 5.865000       
1498 1 1  0.0 0.000000 11.730000 25.414998       
1499 1 1  0.0 0.000000 31.279999 5.865000       
1500 1 1  0.0 0.000000 31.279999 25.414998       
1501 1 1  0.0 19.549999 11.730000 5.865000       
1502 1 1  0.0 19.549999 11.730000 25.414998       
1503 1 1  0.0 19.549999 31.279999 5.865000       
1504 1 1  0.0 19.549999 31.279999 25.414998       
1505 1 1  0.0 0.000000 5.865000 11.730000       
1506 1 1  0.0 0.000000 5.865000 31.279999       
1507 1 1  0.0 0.000000 25.414998 11.730000       
1508 1 1  0.0 0.000000 25.414998 31.279999       
1509 1 1  0.0 19.549999 5.865000 11.730000       
1510 1 1  0.0 19.549999 5.865000 31.279999       
1511 1 1  0.0 19.549999 25.414998 11.730000       
1512 1 1  0.0 19.549999 25.414998 31.279999       
1513 1 1  0.0 0.000000 13.684999 7.820000       
1514 1 1  0.0 0.000000 13.684999 27.369998       
1515 1 1  0.0 0.000000 33.235000 7.820000       
1516 1 1  0.0 0.000000 33.235000 27.369998       
1517 1 1  0.0 19.549999 13.684999 7.820000       
1518 1 1  0.0 19.549999 13.684999 27.369998       
1519 1 1  0.0 19.549999 33.235000 7.820000       
1520 1 1  0.0 19.549999 33.235000 27.369998       
1521 1 1  0.0 0.000000 13.684999 11.730000       
1522 1 1  0.0 0.000000 13.684999 31.279999       
1523 1 1  0.0 0.000000 33.235000 11.730000       
1524 1 1  0.0 0.000000 33.235000 31.279999       
1525 1 1  0.0 19.549999 13.684999 11.730000       
1526 1 1  0.0 19.549999 13.684999 31.279999       
1527 1 1  0.0 19.549999 33.235000 11.730000       
1528 1 1  0.0 19.549999 33.235000 31.279999       
1529 1 1  0.0 0.000000 5.865000 7.820000       
1530 1 1  0.0 0.000000 5.865000 27.369998       
1531 1 1  0.0 0.000000 25.414998 7.820000       
1532 1 1  0.0 0.000000 25.414998 27.369998       
1533 1 1  0.0 19.549999 5.865000 7.820000       
1534 1 1  0.0 19.549999 5.865000 27.369998       
1535 1 1  0.0 19.549999 25.414998 7.820000       
1536 1 1  0.0 19.549999 25.414998 27.369998       
1537 1 1  0.0 5.865000 7.820000 0.000000       
1538 1 1  0.0 5.865000 7.820000 19.549999       
1539 1 1  0.0 5.865000 27.369998 0.000000       
1540 1 1  0.0 5.865000 27.369998 19.549999       
1541 1 1  0.0 25.414998 7.820000 0.000000       
1542 1 1  0.0 25.414998 7.820000 19.549999       
1543 1 1  0.0 25.414998 27.369998 0.000000       
1544 1 1  0.0 25.414998 27.369998 19.549999       
1545 1 1  0.0 13.684999 11.730000 0.000000       
1546 1 1  0.0 13.684999 11.730000 19.549999       
1547 1 1  0.0 13.684999 31.279999 0.000000       
1548 1 1  0.0 13.684999 31.279999 19.549999       
1549 1 1  0.0 33.235000 11.730000 0.000000       
1550 1 1  0.0 33.235000 11.730000 19.549999       
1551 1 1  0.0 33.235000 31.279999 0.000000       
1552 1 1  0.0 33.235000 31.279999 19.549999       
1553 1 1  0.0 13.684999 7.820000 0.000000       
1554 1 1  0.0 13.684999 7.820000 19.549999       
1555 1 1  0.0 13.684999 27.369998 0.000000       
1556 1 1  0.0 13.684999 27.369998 19.549999       
1557 1 1  0.0 33.235000 7.820000 0.000000       
1558 1 1  0.0 33.235000 7.820000 19.549999       
1559 1 1  0.0 33.235000 27.369998 0.000000       
1560 1 1  0.0 33.235000 27.369998 19.549999       
1561 1 1  0.0 5.865000 11.730000 0.000000       
1562 1 1  0.0 5.865000 11.730000 19.549999       
1563 1 1  0.0 5.865000 31.279999 0.000000       
1564 1 1  0.0 5.865000 31.279999 19.549999       
1565 1 1  0.0 25.414998 11.730000 0.000000       
1566 1 1  0.0 25.414998 11.730000 19.549999       
1567 1 1  0.0 25.414998 31.279999 0.000000       
1568 1 1  0.0 25.414998 31.279999 19.549999       
1569 1 1  0.0 7.820000 0.000000 13.684999       
1570 1 1  0.0 7.820000 0.000000 33.235000       
1571 1 1  0.0 7.820000 19.549999 13.684999       
1572 1 1  0.0 7.820000 19.549999 33.235000       
1573 1 1  0.0 27.369998 0.000000 13.684999       
1574 1 1  0.0 27.369998 0.000000 33.235000       
1575 1 1  0.0 27.369998 19.549999 13.684999       
1576 1 1  0.0 27.369998 19.549999 33.235000       
1577 1 1  0.0 11.730000 0.000000 5.865000       
1578 1 1  0.0 11.730000 0.000000 25.414998       
1579 1 1  0.0 11.730000 19.549999 5.865000       
1580 1 1  0.0 11.730000 19.549999 25.414998       
1581 1 1  0.0 31.279999 0.000000 5.865000       
1582 1 1  0.0 31.279999 0.000000 25.414998       
1583 1 1  0.0 31.279999 19.549999 5.865000       
1584 1 1  0.0 31.279999 19.549999 25.414998       
1585 1 1  0.0 7.820000 0.000000 5.865000       
1586 1 1  0.0 7.820000 0.000000 25.414998       
1587 1 1  0.0 7.820000 19.549999 5.865000       
1588 1 1  0.0 7.820000 19.549999 25.414998       
1589 1 1  0.0 27.369998 0.000000 5.865000       
1590 1 1  0.0 27.369998 0.000000 25.414998       
1591 1 1  0.0 27.369998 19.549999 5.865000       
1592 1 1  0.0 27.369998 19.549999 25.414998       
1593 1 1  0.0 11.730000 0.000000 13.684999       
1594 1 1  0.0 11.730000 0.000000 33.235000       
1595 1 1  0.0 11.730000 19.549999 13.684999       
1596 1 1  0.0 11.730000 19.549999 33.235000       
1597 1 1  0.0 31.279999 0.000000 13.684999       
1598 1 1  0.0 31.279999 0.000000 33.235000       
1599 1 1  0.0 31.279999 19.549999 13.684999       
1600 1 1  0.0 31.279999 19.549999 33.235000       
1601 1 1  0.0 5.865000 3.910000 3.910000       
1602 1 1  0.0 5.865000 3.910000 23.460000       
1603 1 1  0.0 5.865000 23.460000 3.910000       
1604 1 1  0.0 5.865000 23.460000 23.460000       
1605 1 1  0.0 25.414998 3.910000 3.910000       
1606 1 1  0.0 25.414998 3.910000 23.460000       
1607 1 1  0.0 25.414998 23.460000 3.910000       
1608 1 1  0.0 25.414998 23.460000 23.460000       
1609 1 1  0.0 13.684999 15.640000 15.640000       
1610 1 1  0.0 13.684999 15.640000 35.189998       
1611 1 1  0.0 13.684999 35.189998 15.640000       
1612 1 1  0.0 13.684999 35.189998 35.189998       
1613 1 1  0.0 33.235000 15.640000 15.640000       
1614 1 1  0.0 33.235000 15.640000 35.189998       
1615 1 1  0.0 33.235000 35.189998 15.640000       
1616 1 1  0.0 33.235000 35.189998 35.189998       
1617 1 1  0.0 13.684999 15.640000 3.910000       
1618 1 1  0.0 13.684999 15.640000 23.460000       
1619 1 1  0.0 13.684999 35.189998 3.910000       
1620 1 1  0.0 13.684999 35.189998 23.460000       
1621 1 1  0.0 33.235000 15.640000 3.910000       
1622 1 1  0.0 33.235000 15.640000 23.460000       
1623 1 1  0.0 33.235000 35.189998 3.910000       
1624 1 1  0.0 33.235000 35.189998 23.460000       
1625 1 1  0.0 5.865000 3.910000 15.640000       
1626 1 1  0.0 5.865000 3.910000 35.189998       
1627 1 1  0.0 5.865000 23.460000 15.640000       
1628 1 1  0.0 5.865000 23.460000 35.189998       
1629 1 1  0.0 25.414998 3.910000 15.640000       
1630 1 1  0.0 25.414998 3.910000 35.189998       
1631 1 1  0.0 25.414998 23.460000 15.640000       
1632 1 1  0.0 25.414998 23.460000 35.189998       
1633 1 1  0.0 13.684999 3.910000 15.640000       
1634 1 1  0.0 13.684999 3.910000 35.189998       
1635 1 1  0.0 13.684999 23.460000 15.640000       
1636 1 1  0.0 13.684999 23.460000 35.189998       
1637 1 1  0.0 33.235000 3.910000 15.640000       
1638 1 1  0.0 33.235000 3.910000 35.189998       
1639 1 1  0.0 33.235000 23.460000 15.640000       
1640 1 1  0.0 33.235000 23.460000 35.189998       
1641 1 1  0.0 5.865000 15.640000 3.910000       
1642 1 1  0.0 5.865000 15.640000 23.460000       
1643 1 1  0.0 5.865000 35.189998 3.910000       
1644 1 1  0.0 5.865000 35.189998 23.460000       
1645 1 1  0.0 25.414998 15.640000 3.910000       
1646 1 1  0.0 25.414998 15.640000 23.460000       
1647 1 1  0.0 25.414998 35.189998 3.910000       
1648 1 1  0.0 25.414998 35.189998 23.460000       
1649 1 1  0.0 5.865000 15.640000 15.640000       
1650 1 1  0.0 5.865000 15.640000 35.189998       
1651 1 1  0.0 5.865000 35.189998 15.640000       
1652 1 1  0.0 5.865000 35.189998 35.189998       
1653 1 1  0.0 25.414998 15.640000 15.640000       
1654 1 1  0.0 25.414998 15.640000 35.189998       
1655 1 1  0.0 25.414998 35.189998 15.640000       
1656 1 1  0.0 25.414998 35.189998 35.189998       
1657 1 1  0.0 13.684999 3.910000 3.910000       
1658 1 1  0.0 13.684999 3.910000 23.460000       
1659 1 1  0.0 13.684999 23.460000 3.910000       
1660 1 1  0.0 13.684999 23.460000 23.460000       
1661 1 1  0.0 33.235000 3.910000 3.910000       
1662 1 1  0.0 33.235000 3.910000 23.460000       
1663 1 1  0.0 33.235000 23.460000 3.910000       
1664 1 1  0.0 33.235000 23.460000 23.460000       
1665 1 1  0.0 3.910000 5.865000 3.910000       
1666 1 1  0.0 3.910000 5.865000 23.460000       
1667 1 1  0.0 3.910000 25.414998 3.910000       
1668 1 1  0.0 3.910000 25.414998 23.460000       
1669 1 1  0.0 23.460000 5.865000 3.910000       
1670 1 1  0.0 23.460000 5.865000 23.460000       
1671 1 1  0.0 23.460000 25.414998 3.910000       
1672 1 1  0.0 23.460000 25.414998 23.460000       
1673 1 1  0.0 15.640000 13.684999 15.640000       
1674 1 1  0.0 15.640000 13.684999 35.189998       
1675 1 1  0.0 15.640000 33.235000 15.640000       
1676 1 1  0.0 15.640000 33.235000 35.189998       
1677 1 1  0.0 35.189998 13.684999 15.640000       
1678 1 1  0.0 35.189998 13.684999 35.189998       
1679 1 1  0.0 35.189998 33.235000 15.640000       
1680 1 1  0.0 35.189998 33.235000 35.189998       
1681 1 1  0.0 3.910000 13.684999 15.640000       
1682 1 1  0.0 3.910000 13.684999 35.189998       
1683 1 1  0.0 3.910000 33.235000 15.640000       
1684 1 1  0.0 3.910000 33.235000 35.189998       
1685 1 1  0.0 23.460000 13.684999 15.640000       
1686 1 1  0.0 23.460000 13.684999 35.189998       
1687 1 1  0.0 23.460000 33.235000 15.640000       
1688 1 1  0.0 23.460000 33.235000 35.189998       
1689 1 1  0.0 15.640000 5.865000 3.910000       
1690 1 1  0.0 15.640000 5.865000 23.460000       
1691 1 1  0.0 15.640000 25.414998 3.910000       
1692 1 1  0.0 15.640000 25.414998 23.460000       
1693 1 1  0.0 35.189998 5.865000 3.910000       
1694 1 1  0.0 35.189998 5.865000 23.460000       
1695 1 1  0.0 35.189998 25.414998 3.910000       
1696 1 1  0.0 35.189998 25.414998 23.460000       
1697 1 1  0.0 15.640000 13.684999 3.910000       
1698 1 1  0.0 15.640000 13.684999 23.460000       
1699 1 1  0.0 15.640000 33.235000 3.910000       
1700 1 1  0.0 15.640000 33.235000 23.460000       
1701 1 1  0.0 35.189998 13.684999 3.910000       
1702 1 1  0.0 35.189998 13.684999 23.460000       
1703 1 1  0.0 35.189998 33.235000 3.910000       
1704 1 1  0.0 35.189998 33.235000 23.460000       
1705 1 1  0.0 3.910000 5.865000 15.640000       
1706 1 1  0.0 3.910000 5.865000 35.189998       
1707 1 1  0.0 3.910000 25.414998 15.640000       
1708 1 1  0.0 3.910000 25.414998 35.189998       
1709 1 1  0.0 23.460000 5.865000 15.640000       
1710 1 1  0.0 23.460000 5.865000 35.189998       
1711 1 1  0.0 23.460000 25.414998 15.640000       
1712 1 1  0.0 23.460000 25.414998 35.189998       
1713 1 1  0.0 15.640000 5.865000 15.640000       
1714 1 1  0.0 15.640000 5.865000 35.189998       
1715 1 1  0.0 15.640000 25.414998 15.640000       
1716 1 1  0.0 15.640000 25.414998 35.189998       
1717 1 1  0.0 35.189998 5.865000 15.640000       
1718 1 1  0.0 35.189998 5.865000 35.189998       
1719 1 1  0.0 35.189998 25.414998 15.640000       
1720 1 1  0.0 35.189998 25.414998 35.189998       
1721 1 1  0.0 3.910000 13.684999 3.910000       
1722 1 1  0.0 3.910000 13.684999 23.460000       
1723 1 1  0.0 3.910000 33.235000 3.910000       
1724 1 1  0.0 3.910000 33.235000 23.460000       
1725 1 1  0.0 23.460000 13.684999 3.910000       
1726 1 1  0.0 23.460000 13.684999 23.460000       
1727 1 1  0.0 23.460000 33.235000 3.910000       
1728 1 1  0.0 23.460000 33.235000 23.460000       
1729 1 1  0.0 3.910000 3.910000 5.865000       
1730 1 1  0.0 3.910000 3.910000 25.414998       
1731 1 1  0.0 3.910000 23.460000 5.865000       
1732 1 1  0.0 3.910000 23.460000 25.414998       
1733 1 1  0.0 23.460000 3.910000 5.865000       
1734 1 1  0.0 23.460000 3.910000 25.414998       
1735 1 1  0.0 23.460000 23.460000 5.865000       
1736 1 1  0.0 23.460000 23.460000 25.414998       
1737 1 1  0.0 15.640000 15.640000 13.684999       
1738 1 1  0.0 15.640000 15.640000 33.235000       
1739 1 1  0.0 15.640000 35.189998 13.684999       
1740 1 1  0.0 15.640000 35.189998 33.235000       
1741 1 1  0.0 35.189998 15.640000 13.684999       
1742 1 1  0.0 35.189998 15.640000 33.235000       
1743 1 1  0.0 35.189998 35.189998 13.684999       
1744 1 1  0.0 35.189998 35.189998 33.235000       
1745 1 1  0.0 15.640000 3.910000 13.684999       
1746 1 1  0.0 15.640000 3.910000 33.235000       
1747 1 1  0.0 15.640000 23.460000 13.684999       
1748 1 1  0.0 15.640000 23.460000 33.235000       
1749 1 1  0.0 35.189998 3.910000 13.684999       
1750 1 1  0.0 35.189998 3.910000 33.235000       
1751 1 1  0.0 35.189998 23.460000 13.684999       
1752 1 1  0.0 35.189998 23.460000 33.235000       
1753 1 1  0.0 3.910000 15.640000 5.865000       
1754 1 1  0.0 3.910000 15.640000 25.414998       
1755 1 1  0.0 3.910000 35.189998 5.865000       
1756 1 1  0.0 3.910000 35.189998 25.414998       
1757 1 1  0.0 23.460000 15.640000 5.865000       
1758 1 1  0.0 23.460000 15.640000 25.414998       
1759 1 1  0.0 23.460000 35.189998 5.865000       
1760 1 1  0.0 23.460000 35.189998 25.414998       
1761 1 1  0.0 3.910000 15.640000 13.684999       
1762 1 1  0.0 3.910000 15.640000 33.235000       
1763 1 1  0.0 3.910000 35.189998 13.684999       
1764 1 1  0.0 3.910000 35.189998 33.235000       
1765 1 1  0.0 23.460000 15.640000 13.684999       
1766 1 1  0.0 23.460000 15.640000 33.235000       
1767 1 1  0.0 23.460000 35.189998 13.684999       
1768 1 1  0.0 23.460000 35.189998 33.235000       
1769 1 1  0.0 15.640000 3.910000 5.865000       
1770 1 1  0.0 15.640000 3.910000 25.414998       
1771 1 1  0.0 15.640000 23.460000 5.865000       
1772 1 1  0.0 15.640000 23.460000 25.414998       
1773 1 1  0.0 35.189998 3.910000 5.865000       
1774 1 1  0.0 35.189998 3.910000 25.414998       
1775 1 1  0.0 35.189998 23.460000 5.865000       
1776 1 1  0.0 35.189998 23.460000 25.414998       
1777 1 1  0.0 15.640000 15.640000 5.865000       
1778 1 1  0.0 15.640000 15.640000 25.414998       
1779 1 1  0.0 15.640000 35.189998 5.865000       
1780 1 1  0.0 15.640000 35.189998 25.414998       
1781 1 1  0.0 35.189998 15.640000 5.865000       
1782 1 1  0.0 35.189998 15.640000 25.414998       
1783 1 1  0.0 35.189998 35.189998 5.865000       
1784 1 1  0.0 35.189998 35.189998 25.414998       
1785 1 1  0.0 3.910000 3.910000 13.684999       
1786 1 1  0.0 3.910000 3.910000 33.235000       
1787 1 1  0.0 3.910000 23.460000 13.684999       
1788 1 1  0.0 3.910000 23.460000 33.235000       
1789 1 1  0.0 23.460000 3.910000 13.684999       
1790 1 1  0.0 23.460000 3.910000 33.235000       
1791 1 1  0.0 23.460000 23.460000 13.684999       
1792 1 1  0.0 23.460000 23.460000 33.235000       
1793 1 1  0.0 5.865000 3.910000 7.820000       
1794 1 1  0.0 5.865000 3.910000 27.369998       
1795 1 1  0.0 5.865000 23.460000 7.820000       
1796 1 1  0.0 5.865000 23.460000 27.369998       
1797 1 1  0.0 25.414998 3.910000 7.820000       
1798 1 1  0.0 25.414998 3.910000 27.369998       
1799 1 1  0.0 25.414998 23.460000 7.820000       
1800 1 1  0.0 25.414998 23.460000 27.369998       
1801 1 1  0.0 13.684999 15.640000 11.730000       
1802 1 1  0.0 13.684999 15.640000 31.279999       
1803 1 1  0.0 13.684999 35.189998 11.730000       
1804 1 1  0.0 13.684999 35.189998 31.279999       
1805 1 1  0.0 33.235000 15.640000 11.730000       
1806 1 1  0.0 33.235000 15.640000 31.279999       
1807 1 1  0.0 33.235000 35.189998 11.730000       
1808 1 1  0.0 33.235000 35.189998 31.279999       
1809 1 1  0.0 13.684999 15.640000 7.820000       
1810 1 1  0.0 13.684999 15.640000 27.369998       
1811 1 1  0.0 13.684999 35.189998 7.820000       
1812 1 1  0.0 13.684999 35.189998 27.369998       
1813 1 1  0.0 33.235000 15.640000 7.820000       
1814 1 1  0.0 33.235000 15.640000 27.369998       
1815 1 1  0.0 33.235000 35.189998 7.820000       
1816 1 1  0.0 33.235000 35.189998 27.369998       
1817 1 1  0.0 5.865000 3.910000 11.730000       
1818 1 1  0.0 5.865000 3.910000 31.279999       
1819 1 1  0.0 5.865000 23.460000 11.730000       
1820 1 1  0.0 5.865000 23.460000 31.279999       
1821 1 1  0.0 25.414998 3.910000 11.730000       
1822 1 1  0.0 25.414998 3.910000 31.279999       
1823 1 1  0.0 25.414998 23.460000 11.730000       
1824 1 1  0.0 25.414998 23.460000 31.279999       
1825 1 1  0.0 13.684999 3.910000 11.730000       
1826 1 1  0.0 13.684999 3.910000 31.279999       
1827 1 1  0.0 13.684999 23.460000 11.730000       
1828 1 1  0.0 13.684999 23.460000 31.279999       
1829 1 1  0.0 33.235000 3.910000 11.730000       
1830 1 1  0.0 33.235000 3.910000 31.279999       
1831 1 1  0.0 33.235000 23.460000 11.730000       
1832 1 1  0.0 33.235000 23.460000 31.279999       
1833 1 1  0.0 5.865000 15.640000 7.820000       
1834 1 1  0.0 5.865000 15.640000 27.369998       
1835 1 1  0.0 5.865000 35.189998 7.820000       
1836 1 1  0.0 5.865000 35.189998 27.369998       
1837 1 1  0.0 25.414998 15.640000 7.820000       
1838 1 1  0.0 25.414998 15.640000 27.369998       
